Mean Intensity,Std Intensity,Edge Mean,Contour Area,Contour Perimeter,Label
0.9197179,0.082046695,1.6580182035068172,3969.0,252.0,1
0.9235782,0.084313,1.8193018083743446,3969.0,252.0,1
0.9344534,0.08373667,1.7749231627016835,3969.0,252.0,1
0.91491276,0.07292487,1.4881729875528813,3969.0,252.0,1
0.9149098,0.08477889,1.8834556517012708,3968.0,252.82842707633972,1
0.92754185,0.08333351,1.885947029345938,3969.0,252.0,1
0.9108466,0.08362697,1.8186822390409336,3969.0,252.0,1
0.91997933,0.08082443,1.6711236680663457,3969.0,252.0,1
0.93195367,0.082912855,1.9443632781965814,3969.0,252.0,1
0.91545653,0.07408709,1.60701111762274,3969.0,252.0,1
0.92274904,0.07816663,1.742906484775927,3966.0,254.82842707633972,1
0.9320216,0.07453715,1.5424121787147316,3969.0,252.0,1
0.93079615,0.08612039,1.975486671544405,3969.0,252.0,1
0.91490984,0.08075193,1.8199024233806833,3969.0,252.0,1
0.92389894,0.076491095,1.680599371217805,3969.0,252.0,1
0.9305912,0.081150435,1.8820031746790051,3969.0,252.0,1
0.9140367,0.07644862,1.6887887600680542,3969.0,252.0,1
0.91481984,0.076894455,1.7085357932233074,3969.0,252.0,1
0.92023873,0.081120364,1.8394508722128362,3969.0,252.0,1
0.92742693,0.088736825,2.1673675137211457,3969.0,252.0,1
0.91471744,0.07839129,1.724132306983115,3969.0,252.0,1
0.92311573,0.08260486,1.849624035372653,3969.0,252.0,1
0.9349025,0.08403296,1.9112061460150476,3969.0,252.0,1
0.9180358,0.075308435,1.6601824032206447,3969.0,252.0,1
0.91760683,0.09413219,1.9284171922545954,3963.0,257.65685415267944,1
0.9186007,0.0938497,1.8557039295435533,3955.0,265.65685415267944,1
0.93630123,0.0849491,1.6094282740375658,3969.0,252.0,1
0.91380215,0.090579525,1.6988009991486879,3951.5,268.72792184352875,1
0.9138959,0.094894536,1.9528443366577077,3937.0,282.1421353816986,1
0.92232203,0.10258184,2.0369031504900033,3967.0,253.65685415267944,1
0.9031671,0.102614634,2.2741879946577606,3943.5,269.899494767189,1
0.91318166,0.10023616,2.057389783355858,3938.0,282.48528122901917,1
0.93040264,0.08748235,1.6098120120830965,3961.0,259.65685415267944,1
0.9117973,0.09056322,1.7181965418887324,3952.5,267.0710676908493,1
0.9139218,0.10400179,2.1245042283571305,3966.0,254.48528122901917,1
0.9272326,0.09770834,2.070068293033489,3959.0,261.65685415267944,1
0.93087655,0.09968334,1.9392344997798678,3967.0,253.65685415267944,1
0.9126494,0.0894363,1.7087186974075221,3966.0,254.82842707633972,1
0.9194201,0.09273457,1.8244656465599174,3962.0,258.8284270763397,1
0.92909956,0.09683505,1.9177320554410242,3948.0,268.1421353816986,1
0.9116949,0.085897,1.5986914233890837,3961.0,259.65685415267944,1
0.90727067,0.10180705,2.1307651862974724,3943.0,277.3137083053589,1
0.9121975,0.10672348,2.279050560551777,3964.0,255.65685415267944,1
0.93083537,0.09826913,1.9966997017102095,3957.0,263.65685415267944,1
0.89528286,0.12621516,2.6542611613290417,3865.0,290.48528122901917,1
0.9125048,0.10455041,2.2135410058544482,3961.0,259.65685415267944,1
0.9309387,0.09823085,1.9545386281509927,3965.0,254.48528122901917,1
0.9128332,0.092874855,1.867889620300737,3968.0,252.82842707633972,1
0.9077905,0.11014763,2.587785743320868,3969.0,252.0,1
0.9114459,0.10126708,2.3498138896156386,3969.0,252.0,1
0.9205413,0.10753343,2.5648100978515638,3969.0,252.0,1
0.9079657,0.091175765,2.00394512895771,3969.0,252.0,1
0.9117178,0.10584234,2.35368063815954,3969.0,252.0,1
0.92787504,0.09832934,2.0749765353072176,3969.0,252.0,1
0.90534526,0.100656845,2.2725580165355845,3969.0,252.0,1
0.9115608,0.105733864,2.5575890977691733,3969.0,252.0,1
0.9248621,0.10610333,2.485763992883493,3967.0,252.82842707633972,1
0.91090405,0.0918374,1.956890149995533,3967.0,253.65685415267944,1
0.91400695,0.10403392,2.2862414090309082,3969.0,252.0,1
0.9195858,0.10784645,2.475199561803157,3969.0,252.0,1
0.9276874,0.1030366,2.3323368534129516,3969.0,252.0,1
0.9062567,0.104090616,2.5144180434415815,3969.0,252.0,1
0.9173962,0.10029937,2.359307813226284,3969.0,252.0,1
0.92913115,0.10114541,2.25063632050894,3969.0,252.0,1
0.9120491,0.087906875,1.953690042450818,3969.0,252.0,1
0.9084377,0.08818668,1.884878004742493,3969.0,252.0,1
0.91252106,0.099134915,2.2117819644667525,3965.0,253.65685415267944,1
0.92636037,0.10027568,2.1399735661125416,3969.0,252.0,1
0.90218866,0.10612406,2.4274946301819984,3967.0,253.65685415267944,1
0.9132736,0.0993982,2.209857890471099,3969.0,252.0,1
0.92396307,0.10378266,2.357308489310776,3969.0,252.0,1
0.9008799,0.10978836,2.2935932499667784,3928.5,253.89949476718903,1
0.9212211,0.07111378,1.5252111133777377,3969.0,252.0,1
0.9198462,0.08215257,1.7701014849405945,3969.0,252.0,1
0.93218434,0.08204225,1.7138227342445362,3969.0,252.0,1
0.91466576,0.06872374,1.382024158522402,3969.0,252.0,1
0.9166006,0.07767455,1.7127564038921026,3969.0,252.0,1
0.9280005,0.0784707,1.7176011500793964,3969.0,252.0,1
0.9078949,0.08059355,1.6653220286723571,3969.0,252.0,1
0.91680837,0.07989483,1.6605428369021398,3969.0,252.0,1
0.9316884,0.073520556,1.535949258441117,3969.0,252.0,1
0.91071445,0.07511736,1.5789131139992785,3969.0,252.0,1
0.91937804,0.07788065,1.6027132359324068,3969.0,252.0,1
0.93598336,0.06590452,1.3364558313906683,3969.0,252.0,1
0.9349379,0.070832595,1.5275122873974678,3969.0,252.0,1
0.9124962,0.07728208,1.6161031086155586,3969.0,252.0,1
0.9172076,0.08208689,1.8030768330814488,3969.0,252.0,1
0.9351543,0.06940438,1.4638062194436163,3969.0,252.0,1
0.91116345,0.07439274,1.6029974650725278,3969.0,252.0,1
0.9129127,0.074270844,1.5658798999836172,3969.0,252.0,1
0.92084,0.078271456,1.6020820934434354,3969.0,252.0,1
0.93747985,0.06754045,1.448271553747872,3969.0,252.0,1
0.9161315,0.072591685,1.4404276217005436,3969.0,252.0,1
0.92344415,0.070803694,1.4657077174848758,3969.0,252.0,1
0.93142706,0.08076662,1.798790180780929,3969.0,252.0,1
0.9116949,0.08368085,1.8394348408653143,3969.0,252.0,1
0.91769016,0.08127191,1.9956159780913338,3968.0,252.82842707633972,1
0.91490215,0.095783055,2.342200045556524,3961.0,259.65685415267944,1
0.93211925,0.08680289,2.0195568973074023,3966.0,254.82842707633972,1
0.90824914,0.08234327,2.0261722413706993,3967.0,253.65685415267944,1
0.91137886,0.09244791,2.1433429334168475,3966.0,254.48528122901917,1
0.9247644,0.0884957,2.0325576666225658,3966.0,254.82842707633972,1
0.90216476,0.096342936,2.295527657630235,3959.0,261.3137083053589,1
0.91078055,0.093098745,2.203674601160693,3964.0,252.82842707633972,1
0.9226648,0.09024686,2.1603668388515747,3967.0,252.82842707633972,1
0.9084186,0.08804398,2.06939810249525,3966.0,254.82842707633972,1
0.91897213,0.0827662,1.7975610755735887,3969.0,252.0,1
0.9298119,0.08244997,1.9420289939639224,3969.0,252.0,1
0.92689943,0.09121597,2.157036150276022,3969.0,252.0,1
